Smiles,MW,logP,H-bond donor,H-bond acceptor,Rotatable bonds,TPSA,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index,pchembl_value
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NC1CC1,655.8409999999999,2.349700000000003,5.0,8.0,18.0,188.35,3.0,47.0,0.7058823529411765,1.7653487444452938,5.66
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@@H](CC(=O)O)C(=O)O,731.8480000000001,1.1152000000000066,7.0,10.0,21.0,262.95,2.0,52.0,0.6571428571428571,2.2898478249445473,5.28
Cc1ccc(S(=O)(=O)N[C@H](C(=O)N[C@@H](C=O)CC(C)C)C(C)C)cc1,368.49900000000014,2.027719999999999,2.0,4.0,9.0,92.34,1.0,25.0,0.5555555555555556,2.936038817797793,7.55
FC(F)(F)c1cccc(NC(=S)N2CCC(c3cccc(Cl)c3)=N2)c1,383.8260000000001,5.165600000000002,1.0,2.0,2.0,27.63,3.0,25.0,0.17647058823529413,1.7238477060714246,5.77
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]1CCC[C@H]2SC[C@@H](C(=O)N[C@H]3CC(=O)OC3O)N2C1=O,486.5030000000002,-2.345299999999994,5.0,9.0,7.0,191.43999999999997,3.0,33.0,0.6842105263157895,1.6950240201222626,7.75
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(C)(=O)=O)C(C)C,292.401,0.2900000000000009,2.0,4.0,8.0,92.34,0.0,19.0,0.8333333333333334,4.770300102127304,6.08
C#CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC,653.825,1.820500000000004,5.0,8.0,18.0,188.34999999999997,2.0,47.0,0.6470588235294118,2.27018549241052,5.8
C/C(=N\N=C(\N)S)c1ccccc1Br,272.17100000000005,2.417600000000001,2.0,2.0,2.0,50.739999999999995,1.0,14.0,0.1111111111111111,3.0060676891765343,5.41
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O,447.4880000000003,0.6785000000000008,3.0,7.0,7.0,134.27,3.0,32.0,0.5454545454545454,1.5915671672863851,7.06
O=C(CN1CCCC[C@H](NC(=O)OCc2ccccc2)C1=O)N[C@H]1CC(=O)OC1O,419.43400000000014,0.044000000000001926,3.0,7.0,6.0,134.27,3.0,30.0,0.5,1.498656021628653,5.78
N/C(S)=N/N=C/c1ccc(-c2cccc(Cl)c2)o1,279.752,3.178400000000001,2.0,3.0,3.0,63.879999999999995,2.0,18.0,0.0,2.2048874834663854,6.85
C/C(=N\N=C(\N)S)c1ccc(Br)s1,278.2,2.4791,2.0,3.0,2.0,50.739999999999995,1.0,13.0,0.14285714285714285,2.8453128843342177,5.42
CN(Cc1ccc(S(=O)(=O)C(F)(F)F)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,440.44300000000015,3.3755000000000024,0.0,4.0,5.0,74.76,3.0,30.0,0.3,1.657348414060586,5.37
N/C(S)=N/N=C/c1ccc(-c2ccc(Br)cc2)o1,324.20300000000003,3.2875000000000005,2.0,3.0,3.0,63.879999999999995,2.0,18.0,0.0,2.1761322903709197,6.55
C/C(=N\N=C(\N)S)c1cccc(Br)c1,272.17100000000005,2.417600000000001,2.0,2.0,2.0,50.739999999999995,1.0,14.0,0.1111111111111111,2.945097768173121,6.7
C/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1,261.272,2.6739000000000006,2.0,2.0,2.0,50.739999999999995,1.0,17.0,0.2,3.0830090650119044,6.77
NC(=S)N1CCC(c2cccc(Br)c2)=N1,284.182,2.1025,1.0,2.0,1.0,41.62,2.0,15.0,0.2,2.260564479747485,6.7
CC1CN(C(=N)S)N=C1c1ccc(Cl)c(Cl)c1,288.203,3.513770000000002,2.0,2.0,1.0,39.45,2.0,17.0,0.2727272727272727,2.3595997990108675,7.16
N/C(S)=N/N=C/c1ccc(-c2ccc(Cl)cc2)o1,279.752,3.178400000000001,2.0,3.0,3.0,63.879999999999995,2.0,18.0,0.0,2.1761322903709197,6.52
Cn1c(/C=N/N=C(/N)S)cc2ccccc21,232.31200000000004,1.7567,2.0,3.0,2.0,55.67,2.0,16.0,0.09090909090909091,2.421952031173274,5.55
CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC,643.83,2.207200000000003,5.0,8.0,18.0,188.34999999999997,2.0,46.0,0.696969696969697,2.2704118519048704,5.75
CC/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1,275.299,3.064000000000001,2.0,2.0,3.0,50.739999999999995,1.0,18.0,0.2727272727272727,3.1584015550005495,7.3
CC1CN(C(=N)S)N=C1c1cccc(Br)c1,298.20899999999995,2.969470000000001,2.0,2.0,1.0,39.45,2.0,16.0,0.2727272727272727,2.336465425195662,7.1
