Smiles,MW,logP,H-bond donor,H-bond acceptor,Rotatable bonds,TPSA,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index,pchembl_value
C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,0.08130851165672323,0.6172354185715891,0.06451612903225806,0.02857142857142857,0.030303030303030304,0.04383649479027516,0.0625,0.05769230769230768,0.1111111111111111,0.45285815639971855,0.3239436619718309
CCC[C@@H](NC(=O)N1C(=O)C[C@@H]1Cc1ccccc1)c1ccccc1,0.11484631404785522,0.6670292974529068,0.03225806451612903,0.02857142857142857,0.09090909090909091,0.042415174993320856,0.1875,0.12179487179487178,0.3333333333333333,0.2500887088146183,0.06619718309859146
COc1ccc(CN(C)C(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,0.11573680208226092,0.6229618703739532,0.0,0.05714285714285715,0.07575757575757576,0.0428853860539674,0.1875,0.12179487179487178,0.3,0.24353139305369687,0.018309859154929553
O=C1C[C@H](NC(=O)[C@@H]2CS[C@H]3CC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1,0.16589584360645865,0.4896917193371176,0.0967741935483871,0.19999999999999998,0.07575757575757576,0.13310179000801492,0.25,0.16025641025641024,0.5,0.20027621091702605,0.04507042253521132
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(N)=O,0.2667499354260706,0.515373988026508,0.1935483870967742,0.22857142857142854,0.2878787878787879,0.23694362810579742,0.125,0.2692307692307693,0.6666666666666666,0.34043793399455863,0.05211267605633807
S=C(Nc1cccc(Cl)c1)N1CCC(c2cccc(Br)c2)=N1,0.14116809271190642,0.7038841539245317,0.03225806451612903,0.02857142857142857,0.030303030303030304,0.019139727491317114,0.1875,0.10256410256410256,0.125,0.2585285203549853,0.14084507042253513
CC(C)[C@H](NS(=O)(=O)c1ccc(Cl)cc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,0.1715340959378936,0.6211820873739954,0.0967741935483871,0.08571428571428572,0.13636363636363635,0.10516697835960455,0.1875,0.16025641025641024,0.2727272727272727,0.26126148727892445,0.4070422535211268
CS[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,0.11710459531563566,0.5956288529521021,0.03225806451612903,0.08571428571428572,0.07575757575757576,0.056190221747261536,0.1875,0.11538461538461539,0.2777777777777778,0.24834085070359593,0.022535211267605604
CC(C)CC[C@H](NS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](C=O)CC(C)C,0.14378311107257763,0.6028503224744306,0.06451612903225806,0.08571428571428572,0.16666666666666669,0.08829281325140259,0.0625,0.1346153846153846,0.5789473684210527,0.444942489496458,0.22253521126760567
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(Cl)cc1)C(C)C,0.13854539773024904,0.5910192149822115,0.06451612903225806,0.08571428571428572,0.13636363636363635,0.08829281325140259,0.0625,0.12179487179487178,0.5294117647058824,0.44086105416860943,0.35352112676056324
C[C@@H](NC(=O)N1C(=O)CC1Sc1ccccc1)c1ccccc1,0.11032433272101,0.6548778290206954,0.03225806451612903,0.05714285714285715,0.06060606060606061,0.042415174993320856,0.1875,0.10897435897435898,0.2222222222222222,0.24397564227275528,0.10140845070422533
N/C(S)=N/N=C/c1cccn1S(=O)(=O)c1ccccc1,0.10218124411835369,0.5434456153933411,0.06451612903225806,0.11428571428571428,0.06060606060606061,0.08558909965268498,0.125,0.08974358974358973,0.0,0.36409527413837756,0.07746478873239426
CC/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,0.08764262710226528,0.634592752278677,0.06451612903225806,0.02857142857142857,0.045454545454545456,0.04383649479027516,0.0625,0.0641025641025641,0.2,0.4641282772796124,0.3802816901408451
CC1CN(C(=N)S)N=C1c1cccc(Cl)c1,0.07751219679604937,0.6127178843719463,0.06451612903225806,0.02857142857142857,0.015151515151515152,0.03177130643868554,0.125,0.0641025641025641,0.2727272727272727,0.3508320769670228,0.23098591549295766
N=C(S)N1CCC(c2cccc(C(F)(F)F)c2)=N1,0.08632902178173472,0.6180305366268202,0.06451612903225806,0.02857142857142857,0.015151515151515152,0.03177130643868554,0.125,0.07692307692307691,0.2727272727272727,0.3459350957066263,0.2957746478873239
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@H](C(=O)O)C(C)C,0.28619662264801893,0.5876287283672923,0.1935483870967742,0.22857142857142854,0.30303030303030304,0.2307560780122895,0.125,0.28846153846153844,0.6944444444444444,0.3441022010421749,0.06197183098591552
N=C(S)N/N=C/c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.10527627707363599,0.6417238978137576,0.0967741935483871,0.02857142857142857,0.030303030303030304,0.041164841036601646,0.0625,0.08974358974358973,0.2,0.48654056127942596,0.21126760563380276
C/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.11161039251917804,0.649752053980817,0.06451612903225806,0.02857142857142857,0.030303030303030304,0.04383649479027516,0.0625,0.09615384615384615,0.2727272727272727,0.5194695417388284,0.3126760563380281
O=C1C[C@H](Cc2ccccc2)N1C(=O)NCc1ccccc1,0.09584396771122905,0.6073531734643237,0.03225806451612903,0.02857142857142857,0.06060606060606061,0.042415174993320856,0.1875,0.10256410256410256,0.2222222222222222,0.23631099054001764,0.0
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]1CC(=O)OC1O)C(C)C,0.18982522591844014,0.3611424427076702,0.22580645161290322,0.22857142857142854,0.19696969696969696,0.24345177664974604,0.0625,0.18589743589743588,0.65,0.4493310138009561,0.30281690140845063
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]1CC(=O)OC1O)C(C)C,0.18982522591844014,0.3611424427076702,0.22580645161290322,0.22857142857142854,0.19696969696969696,0.24345177664974604,0.0625,0.18589743589743588,0.65,0.4493310138009561,0.5521126760563381
COc1ccccc1-c1ccc(/C=N/N=C(/N)S)o1,0.08725473195948914,0.5981783920995416,0.06451612903225806,0.08571428571428572,0.06060606060606061,0.06774245257814585,0.125,0.08333333333333333,0.07692307692307693,0.33904732764994727,0.2183098591549295
N/C(S)=N/N=C/c1cccc(Br)c1,0.07949276501050347,0.5756596876925762,0.06451612903225806,0.02857142857142857,0.030303030303030304,0.04383649479027516,0.0625,0.044871794871794865,0.0,0.41218431823459695,0.12535211267605628
Cc1ccc(NC(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,0.09584396771122905,0.6354167918076574,0.03225806451612903,0.02857142857142857,0.045454545454545456,0.042415174993320856,0.1875,0.10256410256410256,0.2222222222222222,0.2480518029775098,0.03943661971830992
CON(Cc1ccccc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,0.10940268663671887,0.6195357880990344,0.0,0.05714285714285715,0.07575757575757576,0.0428853860539674,0.1875,0.11538461538461539,0.2631578947368421,0.25216069296627264,0.029577464788732355
CN(Cc1ccc(C(F)(F)F)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,0.1328832124039746,0.6679102900378859,0.0,0.02857142857142857,0.06060606060606061,0.03302164039540475,0.1875,0.1346153846153846,0.3,0.24430526821157847,0.06197183098591552
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O)C(C)C,0.1853330479436592,0.43361075700844937,0.1935483870967742,0.19999999999999998,0.15151515151515152,0.1853486508148543,0.125,0.18589743589743588,0.5217391304347826,0.3041862885519179,0.47042253521126753
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NC1CC1,0.2590791847970393,0.589995839757236,0.16129032258064516,0.19999999999999998,0.2727272727272727,0.19089500400748055,0.1875,0.2628205128205128,0.7058823529411765,0.26507601896789745,0.09295774647887323
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@@H](CC(=O)O)C(=O)O,0.29340135722659055,0.5350672869210404,0.22580645161290322,0.2571428571428571,0.3181818181818182,0.27061715201709846,0.125,0.2948717948717948,0.6571428571428571,0.3438322085239191,0.03943661971830992
Cc1ccc(S(=O)(=O)N[C@H](C(=O)N[C@@H](C=O)CC(C)C)C(C)C)cc1,0.12932532435981509,0.575669476499076,0.06451612903225806,0.08571428571428572,0.13636363636363635,0.08829281325140259,0.0625,0.12179487179487178,0.5555555555555556,0.4408610541686094,0.35915492957746464
FC(F)(F)c1cccc(NC(=S)N2CCC(c3cccc(Cl)c3)=N2)c1,0.13624647552783553,0.7152881134967609,0.03225806451612903,0.02857142857142857,0.030303030303030304,0.019139727491317114,0.1875,0.12179487179487178,0.17647058823529413,0.25884442816733205,0.10845070422535208
