SMILES,MW,logP,H-bond donor,H-bond acceptor,Rotatable bonds,TPSA,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index,pchembl_value
CC(C)CC(NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(=O)NCCCN1CCOCC1,431.5980000000002,4.395700000000003,1.0,4.0,11.0,80.31,2.0,30.0,0.5,2.1251359873788034,5.42
N#Cc1ccc(Nc2nc(C#N)nc(N3CCNCC3)n2)cc1,311.34900000000005,0.9050799999999992,2.0,8.0,4.0,98.99,3.0,23.0,0.3333333333333333,1.836781658432588,7.24
C[C@H](NC(=O)C(=O)Nc1ccccc1F)C(=O)N[C@@H](CC(=O)O)C(=O)COC(=O)c1c(Cl)cccc1Cl,479.3830000000002,0.0372000000000019,4.0,6.0,10.0,150.9,1.0,33.0,0.4210526315789473,3.0159410658646477,6.94
Cc1ccc(C[C@H](NC(=O)c2ccc3c(c2)OCCO3)C(=O)N[C@H](/C=C(\F)S(=O)(=O)Oc2ccccc2)CCc2ccccc2)cc1,904.007,7.870800000000008,3.0,12.0,19.0,178.20999999999998,8.0,64.0,0.5208333333333334,1.1294443522894504,8.15
O=C(Nc1cccc(CNC(=O)c2sc3ccccc3c2OCc2ccccc2)c1)c1ccccc1,409.4890000000002,4.168380000000003,1.0,3.0,7.0,73.2,4.0,31.0,0.1923076923076923,1.5253016152835512,5.66
CC(C)C[C@@H](NS(=O)(=O)c1cccc(-c2ccccc2)c1)C(=O)NC1(C#N)CC1,507.6150000000002,6.244800000000004,3.0,5.0,8.0,93.45,5.0,37.0,0.0666666666666666,1.2810727128905637,6.07
CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(=O)NCC(O)c1ccc(Oc2ccccc2)cc1,463.5750000000003,2.0702000000000003,4.0,6.0,15.0,133.82999999999998,1.0,33.0,0.5833333333333334,2.6322135041929875,5.68
CC(C)C[C@H](NC(=O)[C@@H]1C[C@@H](S(=O)(=O)c2ccccc2Cl)CN1C(=O)C1(c2ncc(Cl)cc2F)CC1)C(=O)C(=O)NC1CC1,454.5520000000001,1.9528799999999995,2.0,5.0,8.0,133.36,3.0,32.0,0.3478260869565217,1.7736502146120878,6.85
CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N1Cc2ccccc2C1=O)C(C)(C)C)C(=O)C(=O)NCc1ccc(S(N)(=O)=O)cc1,342.46400000000017,3.1480000000000024,1.0,4.0,3.0,51.1,6.0,24.0,0.5789473684210527,1.3549524926460137,5.52
CC(C)C[C@H](NC(=O)C(C)Oc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,444.48400000000015,1.5082000000000009,3.0,7.0,9.0,123.19,3.0,32.0,0.4347826086956521,1.636564472038403,5.88
CC(C)CNC(=O)C(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,495.6200000000003,3.396300000000001,3.0,5.0,13.0,113.6,2.0,36.0,0.4285714285714285,2.110638797108793,7.19
COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ccccc2)cc1,467.6100000000003,4.877200000000004,3.0,5.0,12.0,88.69,3.0,34.0,0.4814814814814814,1.3779290153619512,6.5
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,293.366,4.374000000000003,1.0,2.0,5.0,42.09,3.0,22.0,0.2105263157894736,1.890792916866252,8.57
C[C@H](NC(=O)O[C@H](Cn1ccc(C(F)(F)F)n1)C(C)(C)C)C(=O)CNS(=O)(=O)c1ccccn1,654.7769999999999,2.1510000000000025,5.0,8.0,19.0,162.92999999999998,2.0,45.0,0.5161290322580645,2.231864666148738,6.52
CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(F)cc2)o1)C(C)(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,376.497,3.906500000000003,2.0,4.0,11.0,84.5,1.0,27.0,0.5714285714285714,2.717826240505723,9.43
CCC(NC(=O)[C@@H]1C[C@@H](S(=O)(=O)c2ccccc2)CN1C(=O)c1ccncc1)C(=O)c1nc2ccccc2o1,397.47900000000016,0.5218000000000005,4.0,5.0,11.0,140.2,2.0,29.0,0.3333333333333333,2.126285022965338,8.48
N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc(C(F)(F)F)cs3)CC2)CC1,313.31700000000006,0.5323,0.0,8.0,3.0,91.9,3.0,23.0,0.2666666666666666,2.283433944695116,5.2
COc1ccc(-c2c3cc4c(cc3cc(=O)n2NC(=O)Nc2ccc(SC)cc2)OCO4)cc1,403.5040000000003,2.0712,0.0,6.0,4.0,79.27999999999999,5.0,28.0,0.6,1.4909142945330736,6.07
CN(C#N)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(C(C)(C)C)nn1C,480.9490000000003,0.807800000000001,4.0,7.0,5.0,151.05999999999997,3.0,33.0,0.5454545454545454,1.7470860525546124,8.8
CCCNC(=O)CCC(=O)Nc1ccc2c(c1)C(=O)C(=O)NC2=O,258.23299999999995,0.4877999999999996,2.0,4.0,2.0,92.34,3.0,19.0,0.2307692307692307,2.0339682296894823,7.23
CCCC[C@H](NC(=O)O[C@H](Cn1cnc(-c2ccc(C(F)(F)F)cc2)c1)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1,573.6160000000002,5.871400000000005,2.0,7.0,11.0,115.21,3.0,41.0,0.4137931034482758,1.6788419671841872,6.8
COC(=O)C[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,507.5680000000002,2.4575000000000005,3.0,6.0,10.0,134.42999999999998,4.0,36.0,0.1923076923076923,1.568223311033742,7.19
CCCC[C@@H](C#N)n1cc([C@@](C)(NC(=O)c2ccccc2)C(C)C)nn1,606.8170000000003,6.032200000000007,0.0,6.0,9.0,93.22,5.0,42.0,0.375,1.3161626388096743,6.06
C=CC(=O)Nc1cc(Oc2nc(Nc3ccc(N4CCN(C)CC4)nc3OC)ccc2N2CCCCC2)ccc1C,604.7520000000002,2.763100000000003,5.0,6.0,13.0,166.74999999999997,3.0,44.0,0.4242424242424242,1.8346370740423907,7.54
CNCC(C(=O)N1CC2=C(C1)CN(S(=O)(=O)c1ccc3c(c1)OCCO3)C2)C1CCCC1C,538.6510000000003,3.2598200000000013,1.0,9.0,6.0,102.76,6.0,37.0,0.3076923076923077,1.24544407721816,5.7
COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]3CCCNC3=O)cc12,526.8060000000004,5.867100000000005,3.0,3.0,3.0,78.43,5.0,38.0,0.8787878787878788,1.5531819338061978,6.19
CC1=C(O)/C(=C/C(C)CC/C=C(/C)CCCc2coc(Cc3ccoc3)c2)OC1=O,410.4770000000002,3.262080000000001,2.0,4.0,7.0,94.88,4.0,31.0,0.2,1.4918220307045134,5.46
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,470.61800000000034,2.5633800000000004,3.0,8.0,9.0,123.4,4.0,34.0,0.76,1.4165001662658534,5.96
N#Cc1ncc(C(=O)NCCc2ccccc2)c(NCC2CCCCC2)n1,462.4360000000004,4.603780000000004,1.0,6.0,7.0,74.07,4.0,29.0,0.7727272727272727,1.3062551605314296,7.82
CC(=O)Oc1cccc(/C(=N\NC(N)=S)c2cccc(Br)c2)c1,627.6910000000001,3.314900000000001,2.0,8.0,12.0,134.71,5.0,44.0,0.3548387096774194,1.3512192847718787,5.8
O=C[C@H](CC(=O)O)NC(=O)C(CCCCNS(=O)(=O)c1ccc(O)c(C(=O)O)c1)c1ccccc1Cl,540.9780000000002,2.1346000000000007,5.0,7.0,14.0,187.17,2.0,36.0,0.3043478260869565,2.0407507435047045,6.7
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1CN1CCNC[C@@H]1C,348.42700000000013,3.5706200000000026,0.0,5.0,3.0,44.0,4.0,25.0,0.1,1.8350827737651865,6.55
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)O,314.38200000000006,0.5316000000000012,3.0,4.0,9.0,108.03000000000002,1.0,22.0,0.8,2.511027621174293,5.89
CC(C)C[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)NC1(C#N)CC1,369.87400000000014,2.20538,2.0,4.0,7.0,99.06,2.0,24.0,0.5,2.2078017995581867,7.6
O=C(C(O)c1cccc(N2CCC3(CC2)COC3)c1)N1CC2=C(C1)CN(S(=O)(=O)c1cnc3c(c1)OCCO3)C2,433.55600000000027,3.3842000000000017,1.0,5.0,5.0,74.23,5.0,32.0,0.48,1.3774543143953415,6.7
CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5c(F)cncc5n3CO4)cc12,682.774,5.625900000000008,3.0,8.0,8.0,126.04000000000002,7.0,49.0,0.2162162162162162,1.4660929498382147,8.68
CC(=O)n1nc(-c2ccc(CC(C#N)NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)c(F)c2)cc1C,411.4810000000001,2.026979999999999,2.0,6.0,8.0,91.97,4.0,30.0,0.5,1.3892068358174192,8.72
COc1ccc(OC)c(/C=C/C(=O)c2ccc(Cl)cc2Cl)c1,482.6010000000001,7.185300000000007,1.0,5.0,7.0,55.76,5.0,35.0,0.1666666666666666,1.4558209454940298,6.12
N#Cc1ccc(-c2ccc(C[C@@H](C#N)NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H](F)C4)cc2)cc1F,424.5260000000002,1.84348,2.0,6.0,6.0,111.95,4.0,30.0,0.4090909090909091,1.3830988291386823,7.18
O=C(Nc1cccc(CNC(=O)c2sc3ccccc3c2OCc2ccccc2)c1)c1cc2ccccc2s1,457.5780000000002,3.611080000000002,1.0,5.0,8.0,91.02,3.0,34.0,0.3333333333333333,1.788395031702506,5.64
CN1CCN(CCOc2ccc(COc3ccccc3Nc3nc(C#N)nc4c3ncn4C3CCCC3)cc2)CC1,262.721,4.118500000000003,0.0,4.0,2.0,38.92,3.0,17.0,0.0,2.020422088857601,7.3
